@relation 'smart_review_data-weka.filters.unsupervised.attribute.Reorder-R1,3-last,2'

@attribute id numeric
@attribute type {review,title}
@attribute rating numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute product_name {'crosley cr8005a-tu c','jbl clip 2 waterproo','ninja professional b','oster cordless elect','iron gym total upper','everydrop by whirlpo','uvex skyper blue lig','rolodex deep desk dr','dymo labelmanager 28','the crystal bible','cuisinart mcp193-18n','viviscal extra stren','fake dog lucy poop d','mega man amiibo supe','skip hop zoo toddler','rhode island novelty','remo kd-0500-01 kids','prismacolor premier ','infant optics dxr-8 ','thermopro tp50 digit'}

@data
79,review,5,0.342466,0.657534,0,0.150685,0,0.205479,0.054795,0.041096,0.013699,'everydrop by whirlpo'
79,title,5,0.142857,0.857143,0,0.428571,0,0,0,0.142857,0,'everydrop by whirlpo'
80,review,1,0.417808,0.582192,0,0.123288,0.027397,0.178082,0.09589,0.068493,0.020548,'everydrop by whirlpo'
80,title,1,0.333333,0.666667,0,0.333333,0,0.166667,0.166667,0,0,'everydrop by whirlpo'
81,review,5,0.452381,0.547619,0,0.113095,0.017857,0.119048,0.059524,0.071429,0.005952,'everydrop by whirlpo'
81,title,5,0.166667,0.833333,0,0.666667,0,0,0,0.166667,0,'everydrop by whirlpo'
82,review,4,0.417476,0.582524,0,0.184466,0.029126,0.126214,0.038835,0.07767,0.009709,'everydrop by whirlpo'
82,title,4,0.25,0.75,0,0.25,0,0.125,0.125,0.125,0,'everydrop by whirlpo'
83,review,4,0.45122,0.54878,0,0.158537,0.012195,0.134146,0.036585,0.085366,0,'everydrop by whirlpo'
83,title,4,0.714286,0.285714,0,0.142857,0.142857,0.142857,0,0.142857,0.142857,'everydrop by whirlpo'
84,review,1,0.483146,0.516854,0,0.11236,0.067416,0.191011,0.033708,0.044944,0.011236,'everydrop by whirlpo'
84,title,1,0.25,0.75,0,0.125,0.125,0.125,0,0.125,0,'everydrop by whirlpo'
85,review,5,0.389896,0.610104,0.001295,0.132124,0.010363,0.082902,0.028497,0.059585,0.009067,'uvex skyper blue lig'
85,title,5,0.470588,0.529412,0,0.235294,0.058824,0.117647,0.176471,0.176471,0,'uvex skyper blue lig'
86,review,5,0.387755,0.612245,0,0.183673,0.047619,0.115646,0.068027,0.081633,0,'uvex skyper blue lig'
86,title,5,0,1,0,0.5,0,0.25,0,0,0,'uvex skyper blue lig'
87,review,5,0.383607,0.616393,0,0.111475,0.014754,0.116393,0.044262,0.05082,0.004918,'uvex skyper blue lig'
87,title,5,0.285714,0.714286,0,0.142857,0.071429,0.357143,0.071429,0.142857,0,'uvex skyper blue lig'
88,review,5,0.496403,0.503597,0,0.107914,0.043165,0.172662,0.107914,0.064748,0.021583,'uvex skyper blue lig'
88,title,5,0.5,0.5,0,0.166667,0.083333,0.166667,0.25,0.083333,0.083333,'uvex skyper blue lig'
89,review,5,0.5,0.5,0,0.147059,0.058824,0.147059,0.029412,0.147059,0,'rolodex deep desk dr'
89,title,5,0,1,0,1,0,0,0,0,0,'rolodex deep desk dr'
90,review,5,0.360294,0.639706,0,0.227941,0.022059,0.132353,0.051471,0.095588,0,'rolodex deep desk dr'
90,title,5,0,1,0,0.4,0,0,0.2,0.2,0,'rolodex deep desk dr'
91,review,5,0.480851,0.519149,0,0.13617,0.008511,0.097872,0.068085,0.080851,0.021277,'rolodex deep desk dr'
91,title,5,0,1,0,0.666667,0,0,0,0.333333,0,'rolodex deep desk dr'
