@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1'

@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
review,4,0.5,0.5,0,0,0,0.25,0.25,0.25,0,0.25,'\'B2of2\''
review,33,0.363636,0.636364,0,0.333333,0,0.151515,0.030303,0.181818,0.030303,0.69697,'\'B1of2\''
review,10,0.4,0.6,0,0.4,0,0.2,0,0.2,0,0.8,'\'B1of2\''
title,3,0.333333,0.666667,0,0,0,0.333333,0.333333,0,0,0,'\'B1of2\''
title,3,0,1,0,0.666667,0,0,0,0.333333,0,1,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,5,0.6,0.4,0,0.2,0,0.2,0,0,0,0.4,'\'B1of2\''
review,131,0.473282,0.526718,0,0.145038,0.030534,0.183206,0.061069,0.083969,0.015267,0.450382,'\'B1of2\''
title,4,0.5,0.5,0,0.25,0,0,0,0.25,0,0.5,'\'B1of2\''
title,2,0,1,0,0.5,0,0.5,0,0,0,1,'\'B1of2\''
title,3,0.666667,0.333333,0,0,0,0,0,0.333333,0,0.666667,'\'B2of2\''
review,25,0.56,0.44,0,0.24,0.08,0.32,0.08,0.04,0.04,0.76,'\'B1of2\''
review,14,0.5,0.5,0,0.285714,0.071429,0.142857,0,0.142857,0,0.714286,'\'B1of2\''
title,1,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
title,5,0.2,0.8,0,0.4,0.2,0,0,0.4,0,1,'\'B1of2\''
review,4,0.25,0.75,0,0,0.25,0.5,0.25,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,49,0.469388,0.530612,0,0.22449,0.020408,0.204082,0.081633,0.142857,0.020408,0.632653,'\'B1of2\''
review,24,0.5,0.5,0,0.291667,0,0.166667,0.083333,0.083333,0,0.541667,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0.5,0.5,0,0,0.5,0.5,0,0,0,0.5,'\'B2of2\''
review,17,0.647059,0.352941,0,0.176471,0.176471,0.117647,0.117647,0.058824,0.058824,0.588235,'\'B2of2\''
review,18,0.388889,0.611111,0,0.111111,0.055556,0.111111,0.111111,0.166667,0,0.5,'\'B1of2\''
title,10,0.4,0.6,0,0.2,0,0.1,0.1,0.3,0,0.7,'\'B1of2\''
title,11,0.454545,0.545455,0,0.090909,0.090909,0.181818,0,0.181818,0,0.636364,'\'B1of2\''
title,4,0.25,0.75,0,0.5,0,0.25,0,0,0,0.75,'\'B1of2\''
title,8,0.375,0.625,0,0.5,0,0.25,0,0,0,0.75,'\'B1of2\''
title,2,0,1,0,1,0,0,0,0,0,1,'\'B1of2\''
review,5,0.6,0.4,0,0.2,0.2,0,0.2,0.2,0,0.6,'\'B2of2\''
title,2,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,32,0.46875,0.53125,0,0.1875,0,0.21875,0.15625,0.0625,0.03125,0.4375,'\'B2of2\''
review,92,0.478261,0.521739,0,0.217391,0.054348,0.130435,0.043478,0.130435,0,0.554348,'\'B2of2\''
review,3,0,1,0,0.333333,0,0,0,0,0,0.333333,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,6,0.666667,0.333333,0,0.166667,0.166667,0.166667,0,0.166667,0,1,'\'B2of2\''
review,3,0.333333,0.666667,0,0,0,0.333333,0,0.333333,0,0.333333,'\'B1of2\''
title,8,0.5,0.5,0,0.5,0.125,0,0,0,0,0.75,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,94,0.5,0.5,0,0.170213,0.053191,0.212766,0.095745,0.053191,0.010638,0.510638,'\'B1of2\''
review,94,0.478723,0.521277,0,0.138298,0.021277,0.170213,0.06383,0.095745,0.031915,0.478723,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
review,17,0.529412,0.470588,0,0.117647,0.058824,0.176471,0.058824,0.235294,0.058824,0.705882,'\'B2of2\''
review,6,0.333333,0.666667,0,0.166667,0,0.166667,0,0.333333,0,0.5,'\'B1of2\''
title,8,0.375,0.625,0,0.375,0,0.125,0.125,0,0,0.75,'\'B2of2\''
review,11,0.545455,0.454545,0,0.363636,0.090909,0.181818,0,0,0,0.818182,'\'B2of2\''
review,14,0.357143,0.642857,0,0.357143,0.071429,0.071429,0.071429,0.214286,0,0.714286,'\'B2of2\''
title,15,0.6,0.4,0,0.2,0,0.266667,0.066667,0.133333,0.066667,0.8,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,9,0.333333,0.666667,0,0.111111,0.111111,0.333333,0,0.222222,0,0.777778,'\'B2of2\''
review,20,0.65,0.35,0,0.2,0.15,0.25,0.05,0,0.05,0.65,'\'B2of2\''
title,2,0.5,0.5,0,0,0,0,0,0.5,0,1,'\'B1of2\''
title,11,0.454545,0.545455,0,0.181818,0.181818,0.181818,0.181818,0.090909,0,0.636364,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B1of2\''
title,4,0.5,0.5,0,0.5,0,0,0.25,0.25,0,0.75,'\'B1of2\''
title,15,0.533333,0.466667,0,0.133333,0.133333,0.2,0.066667,0.2,0,0.666667,'\'B1of2\''
review,91,0.56044,0.43956,0,0.10989,0.021978,0.186813,0.10989,0.087912,0.010989,0.43956,'\'B1of2\''
title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'B2of2\''
review,38,0.526316,0.473684,0,0.210526,0.052632,0.236842,0.052632,0.078947,0,0.631579,'\'B2of2\''
review,29,0.586207,0.413793,0,0.172414,0.068966,0.172414,0.103448,0.103448,0,0.586207,'\'B2of2\''
review,35,0.457143,0.542857,0,0.228571,0.085714,0.228571,0.057143,0.142857,0,0.628571,'\'B1of2\''
title,17,0.294118,0.705882,0,0.176471,0,0.235294,0.176471,0.117647,0,0.588235,'\'B1of2\''
review,43,0.534884,0.465116,0,0.186047,0.023256,0.186047,0.046512,0,0,0.418605,'\'B1of2\''
title,6,0.5,0.5,0,0,0.166667,0.166667,0.333333,0.166667,0,0.333333,'\'B1of2\''
review,29,0.344828,0.655172,0,0.37931,0.068966,0.068966,0.068966,0.103448,0,0.689655,'\'B2of2\''
review,105,0.47619,0.52381,0,0.133333,0.038095,0.133333,0.095238,0.07619,0,0.352381,'\'B2of2\''
title,6,0.166667,0.833333,0,0.666667,0,0,0,0.166667,0,0.833333,'\'B2of2\''
review,11,0.454545,0.545455,0,0.181818,0,0.181818,0.181818,0.181818,0,0.454545,'\'B1of2\''
