@relation 'huge_each_goodbad_smart-weka.filters.unsupervised.attribute.AddExpression-Eifelse(a4 >3.0, 5.0,1.0)-Ngood_or_bad-weka.filters.unsupervised.attribute.Discretize-Y-B2-M-1.0-Rlast-unset-class-temporarily-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.instance.RemoveRange-R1-4187-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-V-R2,6,7,8,9,10,11,12'

@attribute 'stop_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute good_or_bad {'\'B1of2\'','\'B2of2\''}

@data
0,0,0,0,0,0,0.5,'\'B2of2\''
0.469388,0.020408,0.204082,0.081633,0.142857,0.020408,0.632653,'\'B1of2\''
0.5,0,0.166667,0.083333,0.083333,0,0.541667,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.5,0.5,0.5,0,0,0,0.5,'\'B2of2\''
0.647059,0.176471,0.117647,0.117647,0.058824,0.058824,0.588235,'\'B2of2\''
0.388889,0.055556,0.111111,0.111111,0.166667,0,0.5,'\'B1of2\''
0.4,0,0.1,0.1,0.3,0,0.7,'\'B1of2\''
0.454545,0.090909,0.181818,0,0.181818,0,0.636364,'\'B1of2\''
0.25,0,0.25,0,0,0,0.75,'\'B1of2\''
0.375,0,0.25,0,0,0,0.75,'\'B1of2\''
0,0,0,0,0,0,1,'\'B1of2\''
0.6,0.2,0,0.2,0.2,0,0.6,'\'B2of2\''
0.5,0,0,0.5,0.5,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.46875,0,0.21875,0.15625,0.0625,0.03125,0.4375,'\'B2of2\''
0.478261,0.054348,0.130435,0.043478,0.130435,0,0.554348,'\'B2of2\''
0,0,0,0,0,0,0.333333,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.666667,0.166667,0.166667,0,0.166667,0,1,'\'B2of2\''
0.333333,0,0.333333,0,0.333333,0,0.333333,'\'B1of2\''
0.5,0.125,0,0,0,0,0.75,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.5,0.053191,0.212766,0.095745,0.053191,0.010638,0.510638,'\'B1of2\''
0.478723,0.021277,0.170213,0.06383,0.095745,0.031915,0.478723,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.529412,0.058824,0.176471,0.058824,0.235294,0.058824,0.705882,'\'B2of2\''
0.333333,0,0.166667,0,0.333333,0,0.5,'\'B1of2\''
0.375,0,0.125,0.125,0,0,0.75,'\'B2of2\''
0.545455,0.090909,0.181818,0,0,0,0.818182,'\'B2of2\''
0.357143,0.071429,0.071429,0.071429,0.214286,0,0.714286,'\'B2of2\''
0.6,0,0.266667,0.066667,0.133333,0.066667,0.8,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.333333,0.111111,0.333333,0,0.222222,0,0.777778,'\'B2of2\''
0.65,0.15,0.25,0.05,0,0.05,0.65,'\'B2of2\''
0.5,0,0,0,0.5,0,1,'\'B1of2\''
0.454545,0.181818,0.181818,0.181818,0.090909,0,0.636364,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B1of2\''
0.5,0,0,0.25,0.25,0,0.75,'\'B1of2\''
0.533333,0.133333,0.2,0.066667,0.2,0,0.666667,'\'B1of2\''
0.56044,0.021978,0.186813,0.10989,0.087912,0.010989,0.43956,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.526316,0.052632,0.236842,0.052632,0.078947,0,0.631579,'\'B2of2\''
0.586207,0.068966,0.172414,0.103448,0.103448,0,0.586207,'\'B2of2\''
0.457143,0.085714,0.228571,0.057143,0.142857,0,0.628571,'\'B1of2\''
0.294118,0,0.235294,0.176471,0.117647,0,0.588235,'\'B1of2\''
0.534884,0.023256,0.186047,0.046512,0,0,0.418605,'\'B1of2\''
0.5,0.166667,0.166667,0.333333,0.166667,0,0.333333,'\'B1of2\''
0.344828,0.068966,0.068966,0.068966,0.103448,0,0.689655,'\'B2of2\''
0.47619,0.038095,0.133333,0.095238,0.07619,0,0.352381,'\'B2of2\''
0.166667,0,0,0,0.166667,0,0.833333,'\'B2of2\''
0.454545,0,0.181818,0.181818,0.181818,0,0.454545,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.375,0,0.375,0,0.25,0,0.625,'\'B2of2\''
0.454545,0.060606,0.121212,0.030303,0.151515,0.030303,0.666667,'\'B1of2\''
0,0,0,0,0.666667,0,1,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.535714,0.035714,0.107143,0.059524,0.130952,0.011905,0.52381,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.333333,0,0,0,0,0,0.666667,'\'B1of2\''
0.4,0,0,0.2,0.4,0,0.6,'\'B1of2\''
0.52381,0.190476,0.238095,0.047619,0,0,0.714286,'\'B2of2\''
0.568182,0.090909,0.136364,0.068182,0.068182,0,0.568182,'\'B2of2\''
0.411765,0.117647,0.235294,0.117647,0,0.058824,0.823529,'\'B2of2\''
0.521739,0.043478,0.130435,0.043478,0.130435,0.043478,0.782609,'\'B1of2\''
0,0,0,0,0,0,0.5,'\'B2of2\''
0.142857,0,0.142857,0,0.428571,0,0.857143,'\'B2of2\''
