@relation 'smart_review_data-weka.filters.unsupervised.attribute.Reorder-R1-3,5-last,4-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rlast-unset-class-temporarily'

@attribute id numeric
@attribute product_name {'rubber chicken purse','set of ten finger ha','crosley cr8005a-tu c','jbl clip 2 waterproo','ninja professional b','oster cordless elect','iron gym total upper','everydrop by whirlpo','uvex skyper blue lig','rolodex deep desk dr','dymo labelmanager 28','the crystal bible','cuisinart mcp193-18n','viviscal extra stren','the official bs butt'}
@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute rating {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-inf)\''}

@data
68,'rubber chicken purse',review,75,0.6,0.4,0,0.133333,0.026667,0.12,0.093333,0.066667,0,0.386667,'\'(4.2-inf)\''
68,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0.5,0,0,0.5,'\'(4.2-inf)\''
69,'rubber chicken purse',review,41,0.560976,0.439024,0,0.219512,0.04878,0.146341,0.02439,0.097561,0,0.658537,'\'(4.2-inf)\''
69,'rubber chicken purse',title,11,0.727273,0.272727,0,0.090909,0.090909,0.272727,0,0.181818,0,0.909091,'\'(4.2-inf)\''
70,'rubber chicken purse',review,11,0.272727,0.727273,0,0.181818,0,0.272727,0.090909,0.090909,0,0.636364,'\'(2.6-3.4]\''
70,'rubber chicken purse',title,9,0.222222,0.777778,0,0.222222,0,0.222222,0.111111,0.111111,0,0.666667,'\'(2.6-3.4]\''
71,'rubber chicken purse',review,28,0.5,0.5,0,0.178571,0.142857,0.142857,0,0.107143,0,0.678571,'\'(4.2-inf)\''
71,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0.5,0,1,'\'(4.2-inf)\''
72,'rubber chicken purse',review,2,0.5,0.5,0,0,0,0,0,0.5,0,0.5,'\'(4.2-inf)\''
72,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
73,'rubber chicken purse',review,10,0.4,0.6,0,0.2,0,0.2,0.1,0.1,0,0.6,'\'(4.2-inf)\''
73,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
74,'rubber chicken purse',review,52,0.519231,0.480769,0,0.134615,0.019231,0.192308,0.076923,0.076923,0.038462,0.461538,'\'(4.2-inf)\''
74,'rubber chicken purse',title,9,0.444444,0.555556,0,0.111111,0,0.333333,0.111111,0.111111,0.111111,0.888889,'\'(4.2-inf)\''
75,'rubber chicken purse',review,21,0.47619,0.52381,0,0.142857,0.047619,0.190476,0.190476,0.142857,0,0.52381,'\'(1.8-2.6]\''
75,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(1.8-2.6]\''
76,'rubber chicken purse',review,6,0.166667,0.833333,0,0.166667,0,0.166667,0,0.166667,0,0.5,'\'(4.2-inf)\''
76,'rubber chicken purse',title,4,0,1,0,0.5,0,0,0,0.25,0,0.75,'\'(4.2-inf)\''
77,'rubber chicken purse',review,17,0.411765,0.588235,0,0.235294,0,0.117647,0,0.294118,0,0.823529,'\'(4.2-inf)\''
77,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
78,'rubber chicken purse',review,23,0.608696,0.391304,0,0.217391,0.173913,0.173913,0.043478,0,0.043478,0.73913,'\'(4.2-inf)\''
78,'rubber chicken purse',title,11,0.545455,0.454545,0,0.181818,0.181818,0.181818,0,0,0,0.818182,'\'(4.2-inf)\''
79,'rubber chicken purse',review,29,0.413793,0.586207,0,0.172414,0.103448,0.137931,0,0.034483,0,0.517241,'\'(4.2-inf)\''
79,'rubber chicken purse',title,10,0.2,0.8,0,0.2,0.1,0.2,0,0,0,0.5,'\'(4.2-inf)\''
80,'rubber chicken purse',review,17,0.588235,0.411765,0,0.294118,0.058824,0.176471,0,0.058824,0,0.705882,'\'(4.2-inf)\''
80,'rubber chicken purse',title,3,0.333333,0.666667,0,0,0.333333,0.333333,0,0,0,0.333333,'\'(4.2-inf)\''
81,'rubber chicken purse',review,23,0.608696,0.391304,0,0.130435,0.086957,0.173913,0,0.086957,0,0.565217,'\'(4.2-inf)\''
81,'rubber chicken purse',title,14,0.571429,0.428571,0,0.142857,0.071429,0.142857,0,0.142857,0,0.857143,'\'(4.2-inf)\''
82,'rubber chicken purse',review,14,0.428571,0.571429,0,0.357143,0.071429,0.142857,0,0.071429,0,0.642857,'\'(4.2-inf)\''
82,'rubber chicken purse',title,3,0,1,0,0.666667,0,0,0,0,0,0.666667,'\'(4.2-inf)\''
83,'rubber chicken purse',review,11,0.363636,0.636364,0,0.090909,0,0.090909,0.181818,0.272727,0,0.454545,'\'(4.2-inf)\''
83,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
84,'rubber chicken purse',review,27,0.333333,0.666667,0,0.185185,0.074074,0.111111,0.185185,0.037037,0,0.481481,'\'(4.2-inf)\''
84,'rubber chicken purse',title,6,0.166667,0.833333,0,0.333333,0,0.166667,0,0,0,0.5,'\'(4.2-inf)\''
85,'rubber chicken purse',review,17,0.411765,0.588235,0,0.176471,0.058824,0.235294,0.058824,0.058824,0,0.647059,'\'(4.2-inf)\''
85,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
86,'rubber chicken purse',review,79,0.544304,0.455696,0,0.189873,0.037975,0.151899,0.075949,0.101266,0.012658,0.531646,'\'(4.2-inf)\''
86,'rubber chicken purse',title,12,0.5,0.5,0,0.25,0.083333,0.083333,0.083333,0.166667,0,0.75,'\'(4.2-inf)\''
87,'rubber chicken purse',review,22,0.636364,0.363636,0,0.090909,0,0.181818,0.090909,0.136364,0,0.545455,'\'(4.2-inf)\''
87,'rubber chicken purse',title,8,0.625,0.375,0,0.375,0,0.125,0.125,0,0,0.625,'\'(4.2-inf)\''
